GeoAssetID,GeoAssetName,Latitude,Longitude,CapacityMillionTonnesPerAnnum,CapacityKiloBarrelsPerDay,City,FromDate,ToDate
4623,Kapolei Refinery (Chevron),21.30983,-158.11013,2.70,54.00,Honolulu,1960-01-01,2018-12-31
4624,San Lorenzo Refinery,-32.726895,-60.742841,2.50,50.30,San Lorenzo,1938-01-01,
4625,Kapolei Refinery (Par Pacific),21.30337,-158.09086,4.60,93.50,Ewa Beach,1972-01-01,
4626,Kenai Refinery,60.683314,-151.366045,3.70,72.00,Kenai,1969-01-01,
4627,Prudhoe Bay Refinery(BP),70.306822,-148.73131,0.75,13.00,Prudhoe Bay,1975-01-01,2015-12-31
4627,Prudhoe Bay Refinery(BP),70.306822,-148.73131,0.40,8.00,Prudhoe Bay,2016-01-01,
4628,North Pole Refinery (Flint Hills),64.73868,-147.349501,11.00,220.00,,1977-01-01,2011-12-31
4628,North Pole Refinery (Flint Hills),64.73868,-147.349501,4.00,80.00,,2012-01-01,2014-05-31
4629,North Pole Refinery (Petro Star),64.731402,-147.344564,1.10,22.50,North Pole,1985-01-01,
4630,Valdez Refinery,61.08104,-146.392511,3.00,55.00,Valdez,1993-01-01,
4631,Burnaby Refinery,49.29344,-122.988225,2.70,55.00,Burnaby,1935-01-01,
4632,Cherry Point Refinery,48.883723,-122.735585,11.20,225.00,Ferndale,1971-01-01,2018-12-31
4632,Cherry Point Refinery,48.883723,-122.735585,11.20,250.00,Ferndale,2019-01-01,
4633,Prince George Refinery,53.928237,-122.699551,0.60,12.00,Prince George,1967-01-01,
4634,Ferndale Refinery,48.82933,-122.69827,5.00,105.00,Ferndale,1954-01-01,2016-12-31
4634,Ferndale Refinery,48.82933,-122.69827,6.00,115.00,Ferndale,2017-01-01,
4635,Anacortes Refinery (Tesoro),48.489385,-122.561562,5.90,120.00,Anacortes,1955-01-01,
4636,Anacortes Refinery (Shell),48.47423,-122.55867,7.00,137.00,Anacortes,1958-01-01,
4637,Chevron Richmond Refinery,37.93941,-122.395938,12.10,245.00,Richmond,1902-01-01,
4638,Tacoma Refinery,47.256843,-122.395425,2.00,38.00,Tacoma,1957-01-01,2011-12-31
4638,Tacoma Refinery,47.256843,-122.395425,2.00,40.00,Tacoma,2012-01-01,2017-12-31
4638,Tacoma Refinery,47.256843,-122.395425,2.00,42.00,Tacoma,2018-01-01,
4639,Rodeo San Francisco Refinery,38.041008,-122.252796,5.90,120.00,Rodeo,1896-01-01,
4640,Benicia Refinery,38.06969,-122.139589,7.00,132.00,Benicia,1968-01-01,2014-12-31
4640,Benicia Refinery,38.06969,-122.139589,7.50,145.00,Benicia,2015-01-01,
4641,Martinez Refinery (Shell),38.019978,-122.114807,8.15,156.00,Martinez,1915-01-01,2018-12-31
4641,Martinez Refinery (Shell),38.019978,-122.114807,8.15,161.00,Martinez,2019-01-01,2020-09-01
4642,Golden Eagle Refinery,38.028325,-122.066668,8.20,166.00,Martinez,1913-01-01,2018-12-31
4642,Golden Eagle Refinery,38.028325,-122.066668,8.20,180.00,Martinez,2019-01-01,
4643,Santa Maria Refinery (Phillips 66),35.037687,-120.591158,2.20,45.00,Santa Maria,1932-01-01,
4644,Bakersfield (Alon Usa Energy Inc),35.418616,-119.011906,3.50,68.00,Bakersfield,1932-01-01,2016-12-31
4645,Bakersfield Refinery (Kern Oil & Refining Co),35.294951,-118.915994,1.30,27.00,Bakersfield,1934-01-01,
4646,El Segundo Refinery,33.909711,-118.411583,13.30,269.00,El Segundo,1911-01-01,
4647,Exxonmobil Torrance Refinery,33.851958,-118.334643,7.40,140.00,Torrance,1929-01-01,2017-12-31
4647,Exxonmobil Torrance Refinery,33.851958,-118.334643,8.00,145.00,Torrance,2018-01-01,
4648,Phillips 66 Los Angeles (Wilmington) Refinery,33.77244,-118.28671,6.90,139.00,Wilmington,1919-01-01,
4649,Tesoro Los Angeles (Carson) Refinery,33.81335,-118.24358,13.30,269.00,Carson,1922-01-01,2018-12-31
4649,Tesoro Los Angeles (Carson) Refinery,33.81335,-118.24358,18.30,363.00,Carson,2019-01-01,
4650,Phillips 66 Los Angeles (Carson) Refinery,33.80386,-118.24345,,,,,
4651,Tesoro Los Angeles (Wilmington) Refinery,33.79851,-118.23345,4.80,97.00,Wilmington,1969-01-01,2014-12-31
4651,Tesoro Los Angeles (Wilmington) Refinery,33.79851,-118.23345,5.70,114.00,Wilmington,2015-01-01,
4652,South Gate Refinery,33.946272,-118.166731,0.50,8.50,South Gate,1937-01-01,
4653,Paramount Refinery,33.899144,-118.148478,2.10,54.00,Paramount,1930-01-01,2011-12-31
4653,Paramount Refinery,33.899144,-118.148478,4.50,84.00,Paramount,2012-01-01,2017-12-31
4654,Ely Refinery,38.622486,-115.61888,0.10,2.00,Ely,1984-01-01,
4655,Strathcona Refinery (Imperial),53.545811,-113.391788,9.40,198.00,Edmonton,1976-01-01,
4656,Edmonton Strathcona Refinery (Suncor),53.548031,-113.360953,6.60,145.00,Edmonton,1971-01-01,2012-12-31
4656,Edmonton Strathcona Refinery (Suncor),53.548031,-113.360953,7.00,152.00,Edmonton,2013-01-01,
4657,Scotford Refinery,53.796416,-113.092338,5.60,114.00,Scotford,1984-01-01,
4658,Salt Lake City Refinery (Chevron),40.82756,-111.924061,2.20,45.00,Salt Lake City,1948-01-01,2013-12-31
4658,Salt Lake City Refinery (Chevron),40.82756,-111.924061,3.10,63.00,Salt Lake City,2014-01-01,
4659,North Salt Lake Refinery,40.83793,-111.922204,1.50,30.50,North Salt Lake,1949-01-01,
4660,Woods Cross Refinery (Silver Eagle),40.86725,-111.911831,0.70,15.00,Woods Cross,1954-01-01,
4661,Salt Lake City Refinery (Tesoro),40.794023,-111.909293,3.00,58.00,Salt Lake City,1908-01-01,2014-12-31
