id,initial,match,type
4623,Honolulu,Honolulu,cityname
4624,San Lorenzo,SanLorenzo,cityname
4624,San Lorenzo,San Lorenzo,cityname
4625,Ewa Beach,EwaBeach,cityname
4625,Ewa Beach,Ewa Beach,cityname
4626,Kenai,Kenai,cityname
4627,Prudhoe Bay,PrudhoeBay,cityname
4627,Prudhoe Bay,Prudhoe Bay,cityname
4629,North Pole,NorthPole,cityname
4629,North Pole,North Pole,cityname
4630,Valdez,Valdez,cityname
4631,Burnaby,Burnaby,cityname
4632,Ferndale,Ferndale,cityname
4633,Prince George,PrinceGeorge,cityname
4633,Prince George,Prince George,cityname
4634,Ferndale,Ferndale,cityname
4635,Anacortes,Anacortes,cityname
4636,Anacortes,Anacortes,cityname
4637,Richmond,Richmond,cityname
4638,Tacoma,Tacoma,cityname
4639,Rodeo,Rodeo,cityname
4640,Benicia,Benicia,cityname
4641,Martinez,Martinez,cityname
4642,Martinez,Martinez,cityname
4643,Santa Maria,SantaMaria,cityname
4643,Santa Maria,Santa Maria,cityname
4644,Bakersfield,Bakersfield,cityname
4645,Bakersfield,Bakersfield,cityname
4646,El Segundo,ElSegundo,cityname
4646,El Segundo,El Segundo,cityname
4647,Torrance,Torrance,cityname
4648,Wilmington,Wilmington,cityname
4649,Carson,Carson,cityname
4651,Wilmington,Wilmington,cityname
4652,South Gate,SouthGate,cityname
4652,South Gate,South Gate,cityname
4653,Paramount,Paramount,cityname
4654,Ely,Ely,cityname
4655,Edmonton,Edmonton,cityname
4656,Edmonton,Edmonton,cityname
4657,Scotford,Scotford,cityname
4658,Salt Lake City,SaltLakeCity,cityname
4658,Salt Lake City,SaltLake,cityname
4658,Salt Lake City,Salt Lake City,cityname
4659,North Salt Lake,NorthSaltLake,cityname
4659,North Salt Lake,NorthSalt,cityname
4659,North Salt Lake,North Salt Lake,cityname
4660,Woods Cross,WoodsCross,cityname
4660,Woods Cross,Woods Cross,cityname
4661,Salt Lake City,SaltLakeCity,cityname
4661,Salt Lake City,SaltLake,cityname
4661,Salt Lake City,Salt Lake City,cityname
4662,Woods Cross,WoodsCross,cityname
4662,Woods Cross,Woods Cross,cityname
4663,Great Falls,GreatFalls,cityname
4663,Great Falls,Great Falls,cityname
4664,Evanston,Evanston,cityname
4665,Lloydminster,Lloydminster,cityname
4666,Laurel,Laurel,cityname
4667,Billings,Billings,cityname
4668,Billings,Billings,cityname
4669,Gallup,Gallup,cityname
4670,Evansville,Evansville,cityname
4671,El Paso,ElPaso,cityname
4671,El Paso,El Paso,cityname
4673,Evansville,Evansville,cityname
4674,Douglas,Douglas,cityname
4675,Denver,Denver,cityname
4677,Cheyenne,Cheyenne,cityname
4678,Regina,Regina,cityname
4679,Artesia,Artesia,cityname
4680,New Castle,NewCastle,cityname
4680,New Castle,New Castle,cityname
4681,Dickinson,Dickinson,cityname
4682,Sunray,Sunray,cityname
4683,Big Spring,BigSpring,cityname
4683,Big Spring,Big Spring,cityname
4684,Borger,Borger,cityname
4685,Salamanca,Salamanca,cityname
4686,Mandan,Mandan,cityname
4687,Cadereyta,Cadereyta,cityname
4688,Tula Hidalgo,TulaHidalgo,cityname
4688,Tula Hidalgo,Tula Hidalgo,cityname
4689,San Antonio,SanAntonio,cityname
4689,San Antonio,San Antonio,cityname
4690,Three Rivers,ThreeRivers,cityname
4690,Three Rivers,Three Rivers,cityname
4691,Nixon,Nixon,cityname
4692,Mcpherson,Mcpherson,cityname
4693,Corpus Christi,CorpusChristi,cityname
4693,Corpus Christi,Corpus Christi,cityname
4694,Corpus Christi,CorpusChristi,cityname
4694,Corpus Christi,Corpus Christi,cityname
4695,Corpus Christi,CorpusChristi,cityname
4695,Corpus Christi,Corpus Christi,cityname
4697,Corpus Christi,CorpusChristi,cityname
4697,Corpus Christi,Corpus Christi,cityname
4699,Wynnewood,Wynnewood,cityname
4700,Ardmore,Ardmore,cityname
4701,Ponca City,PoncaCity,cityname
4701,Ponca City,Ponca City,cityname
4702,El Dorado,ElDorado,cityname
4702,El Dorado,El Dorado,cityname
4704,Tulsa,Tulsa,cityname
4705,Sweeny,Sweeny,cityname
4706,Coffeyville,Coffeyville,cityname
4707,Tyler,Tyler,cityname
4708,Houston,Houston,cityname
4709,Houston,Houston,cityname
4710,Pasadena,Pasadena,cityname
4712,Deer Park,DeerPark,cityname
4712,Deer Park,Deer Park,cityname
4714,Baytown,Baytown,cityname
4715,Galveston Bay,GalvestonBay,cityname
4715,Galveston Bay,Galveston Bay,cityname
4716,Texas City,TexasCity,cityname
4716,Texas City,Texas City,cityname
4717,Texas City,TexasCity,cityname
4717,Texas City,Texas City,cityname
4718,Beaumont,Beaumont,cityname
4719,Port Arthur,PortArthur,cityname
4719,Port Arthur,Port Arthur,cityname
4720,Port Arthur,PortArthur,cityname
4720,Port Arthur,Port Arthur,cityname
4721,Willemstad,Willemstad,cityname
4722,Port Arthur,PortArthur,cityname
4722,Port Arthur,Port Arthur,cityname
4723,Shreveport,Shreveport,cityname
4724,Princeton,Princeton,cityname
4725,Cotton Valley,CottonValley,cityname
4725,Cotton Valley,Cotton Valley,cityname
4726,Lake Charles,LakeCharles,cityname
4726,Lake Charles,Lake Charles,cityname
4727,Lake Charles,LakeCharles,cityname
4727,Lake Charles,Lake Charles,cityname
4728,Westlake,Westlake,cityname
4729,Pine Blend,PineBlend,cityname
4729,Pine Blend,Pine Blend,cityname
4730,Fort de France,FortdeFrance,cityname
4730,Fort de France,Fortde,cityname
4730,Fort de France,Fort de France,cityname
4731,Saint Paul,SaintPaul,cityname
4731,Saint Paul,Saint Paul,cityname
4732,Smackover,Smackover,cityname
4733,El Dorado,ElDorado,cityname
4733,El Dorado,El Dorado,cityname
4734,Superior,Superior,cityname
4735,Krotz Springs,KrotzSprings,cityname
4735,Krotz Springs,Krotz Springs,cityname
4736,Port Allen,PortAllen,cityname
4736,Port Allen,Port Allen,cityname
4737,Baton Rouge,BatonRouge,cityname
4737,Baton Rouge,Baton Rouge,cityname
4738,Vicksburg,Vicksburg,cityname
4739,Convent,Convent,cityname
4740,Garyville,Garyville,cityname
4741,Norco,Norco,cityname
4742,Norco,Norco,cityname
4743,Wood River,WoodRiver,cityname
4743,Wood River,Wood River,cityname
4744,Memphis,Memphis,cityname
4745,Belle Chasse,BelleChasse,cityname
4745,Belle Chasse,Belle Chasse,cityname
4746,Chalmette,Chalmette,cityname
4747,Meraux,Meraux,cityname
4748,Acajutla,Acajutla,cityname
4749,Sandersville,Sandersville,cityname
4750,Pascagoula,Pascagoula,cityname
4751,Joliet,Joliet,cityname
4752,Saraland,Saraland,cityname
4753,Lemont,Lemont,cityname
4755,Mount Vernon,MountVernon,cityname
4755,Mount Vernon,Mount Vernon,cityname
4756,Robinson,Robinson,cityname
4757,Tuscaloosa,Tuscaloosa,cityname
4758,Whiting,Whiting,cityname
4759,Managua,Managua,cityname
4760,Somerset,Somerset,cityname
4761,Lima,Lima,cityname
4762,Toledo,Toledo,cityname
4763,Toledo,Toledo,cityname
4764,Detroit,Detroit,cityname
4765,Catlettsburg,Catlettsburg,cityname
4766,St. Clair,St.Clair,cityname
4766,St. Clair,St. Clair,cityname
4767,Sarnia,Sarnia,cityname
4768,Sarnia,Sarnia,cityname
4769,Havana,Havana,cityname
4770,Canton,Canton,cityname
4771,Talara,Talara,cityname
4773,Savannah,Savannah,cityname
4776,Santa Elena,SantaElena,cityname
4776,Santa Elena,Santa Elena,cityname
4777,Newell,Newell,cityname
4778,Nanticoke,Nanticoke,cityname
4779,Esmeraldas,Esmeraldas,cityname
4780,Mississauga,Mississauga,cityname
4781,Warren,Warren,cityname
4782,El Milagro,ElMilagro,cityname
4782,El Milagro,El Milagro,cityname
4783,Bradford,Bradford,cityname
4784,Lima,Lima,cityname
4785,Lima,Lima,cityname
4787,Kingston,Kingston,cityname
4788,Shushufindi,Shushufindi,cityname
4789,Yorktown,Yorktown,cityname
4790,Delaware City,DelawareCity,cityname
4790,Delaware City,Delaware City,cityname
4791,Marcus Hook,MarcusHook,cityname
4791,Marcus Hook,Marcus Hook,cityname
4792,Trainer,Trainer,cityname
4793,Paulsboro,Paulsboro,cityname
4794,Paulsboro,Paulsboro,cityname
4795,Minatitlan,Minatitlan,cityname
4796,Philadelphia,Philadelphia,cityname
4797,Eagle Point,EaglePoint,cityname
4797,Eagle Point,Eagle Point,cityname
4798,Pucallpa,Pucallpa,cityname
4799,Perth Amboy,PerthAmboy,cityname
4799,Perth Amboy,Perth Amboy,cityname
4800,Linden,Linden,cityname
4801,Santander,Santander,cityname
4802,Montreal,Montreal,cityname
4803,Apiay,Apiay,cityname
4804,Iquito,Iquito,cityname
4805,Concepcion,Concepcion,cityname
4806,N. de Santander,N.deSantander,cityname
4806,N. de Santander,N.de,cityname
4806,N. de Santander,N. de Santander,cityname
4807,Bajo Grande,BajoGrande,cityname
4807,Bajo Grande,Bajo Grande,cityname
4809,Concon,Concon,cityname
4810,Levis,Levis,cityname
4811,Cartagena,Cartagena,cityname
4812,Punta Arenas,PuntaArenas,cityname
4812,Punta Arenas,Punta Arenas,cityname
4813,San Nicolas,SanNicolas,cityname
4813,San Nicolas,San Nicolas,cityname
4814,Neuquen,Neuquen,cityname
4815,Mendoza,Mendoza,cityname
4816,Cochabamba,Cochabamba,cityname
4817,Saint John,SaintJohn,cityname
4817,Saint John,Saint John,cityname
4819,Santa Cruz de la Sierra,Santa Cruz de la Sierra,cityname
4820,Orinoco belt,Orinocobelt,cityname
4820,Orinoco belt,Orinoco belt,cityname
4821,Puerto de la Cruz,Puerto de la Cruz,cityname
4822,Barcelona,Barcelona,cityname
4823,St. Croix,St.Croix,cityname
4823,St. Croix,St. Croix,cityname
4824,Campo Duran,CampoDuran,cityname
4824,Campo Duran,Campo Duran,cityname
4825,Dartmouth,Dartmouth,cityname
4826,Santa Cruz de la Sierra,Santa Cruz de la Sierra,cityname
4828,Bahia Blanca,BahiaBlanca,cityname
4828,Bahia Blanca,Bahia Blanca,cityname
4830,Manaus,Manaus,cityname
4832,Villa Elisa,VillaElisa,cityname
4832,Villa Elisa,Villa Elisa,cityname
4833,Montevideo,Montevideo,cityname
4834,Tout Lui Faut,ToutLuiFaut,cityname
4834,Tout Lui Faut,ToutLui,cityname
4834,Tout Lui Faut,Tout Lui Faut,cityname
4835,Come By Chance,ComeByChance,cityname
4835,Come By Chance,ComeBy,cityname
4835,Come By Chance,Come By Chance,cityname
4836,Pelotas,Pelotas,cityname
4837,Canoas,Canoas,cityname
4838,Santiago,Santiago,cityname
4839,Araucaria,Araucaria,cityname
4840,Paulinia,Paulinia,cityname
4841,Maua,Maua,cityname
4842,Cubatao,Cubatao,cityname
4843,Sao Jose dos Campos,Sao Jose dos Campos,cityname
4844,Betim,Betim,cityname
4845,Duque de Caxias,DuquedeCaxias,cityname
4845,Duque de Caxias,Duquede,cityname
4845,Duque de Caxias,Duque de Caxias,cityname
4846,Rio de Janeiro,RiodeJaneiro,cityname
4846,Rio de Janeiro,Riode,cityname
4846,Rio de Janeiro,Rio de Janeiro,cityname
4847,Sao Francisco do Conde,Sao Francisco do Conde,cityname
4848,Fortaleza,Fortaleza,cityname
4849,Ipojuca,Ipojuca,cityname
4850,Dakar,Dakar,cityname
4852,Tenerife,Tenerife,cityname
4854,Sines,Sines,cityname
4855,Porto,Porto,cityname
4857,La Coruna,LaCoruna,cityname
4857,La Coruna,La Coruna,cityname
4859,Cork,Cork,cityname
4861,Mohammedia,Mohammedia,cityname
4862,Huelva,Huelva,cityname
4863,"Palos de
  la Frontera","Palos de
  la Frontera",cityname
4864,Gibraltar San Roque,GibraltarSanRoque,cityname
4864,Gibraltar San Roque,GibraltarSan,cityname
4864,Gibraltar San Roque,Gibraltar San Roque,cityname
4865,Pembroke,Pembroke,cityname
4866,Puertollano,Puertollano,cityname
4867,Abidjan,Abidjan,cityname
4868,Grangemouth,Grangemouth,cityname
4869,Muskiz,Muskiz,cityname
4870,Dundee,Dundee,cityname
4871,Stanlow,Stanlow,cityname
4872,Donges,Donges,cityname
4873,Fawley,Fawley,cityname
4874,Murcia,Murcia,cityname
4875,Arzew,Arzew,cityname
4876,Lindsey,Lindsey,cityname
4877,Humber,Humber,cityname
4878,Castellon,Castellon,cityname
4880,Tema,Tema,cityname
4881,Gonfreville l’Orcher,Gonfrevillel’Orcher,cityname
4881,Gonfreville l’Orcher,Gonfreville l’Orcher,cityname
4882,Port Jerome,PortJerome,cityname
4882,Port Jerome,Port Jerome,cityname
4883,Tarragona,Tarragona,cityname
4885,Dunkirk,Dunkirk,cityname
4886,Grandpuits,Grandpuits,cityname
4887,Alger,Alger,cityname
4889,Vlissingen,Vlissingen,cityname
4890,Rotterdam,Rotterdam,cityname
4891,Rotterdam,Rotterdam,cityname
4892,Rotterdam,Rotterdam,cityname
4893,Scheldelaan,Scheldelaan,cityname
4895,Rotterdam,Rotterdam,cityname
4896,Antwerp,Antwerp,cityname
4897,Antwerp,Antwerp,cityname
4898,Rotterdam,Rotterdam,cityname
4899,Feyzin,Feyzin,cityname
4900,Fos sur Mer,FossurMer,cityname
4900,Fos sur Mer,Fossur,cityname
4900,Fos sur Mer,Fos sur Mer,cityname
4901,Lavera,Lavera,cityname
4902,Salina Cruz,SalinaCruz,cityname
4902,Salina Cruz,Salina Cruz,cityname
4903,La Mede,LaMede,cityname
4903,La Mede,La Mede,cityname
4904,Warri    ,Warri    ,cityname
4905,Hassi,Hassi,cityname
4906,Collombey,Collombey,cityname
4907,Skikda,Skikda,cityname
4908,Cologne,Cologne,cityname
4909,Cressier,Cressier,cityname
4910,Buenos Aires,BuenosAires,cityname
4910,Buenos Aires,Buenos Aires,cityname
4911,Gelsenkirchen,Gelsenkirchen,cityname
4912,Port Hartcourt,PortHartcourt,cityname
4912,Port Hartcourt,Port Hartcourt,cityname
4913,Lingen,Lingen,cityname
4914,Kaduna,Kaduna,cityname
4915,Karlsruhe,Karlsruhe,cityname
4916,Port Gentil,PortGentil,cityname
4916,Port Gentil,Port Gentil,cityname
4917,Zinder,Zinder,cityname
4918,Trecate,Trecate,cityname
4919,Sannazzaro,Sannazzaro,cityname
4920,Busalla,Busalla,cityname
4921,Sarroch,Sarroch,cityname
4922,Heide,Heide,cityname
4923,Limbe,Limbe,cityname
4925,Fredericia,Fredericia,cityname
4926,Bizerte,Bizerte,cityname
4927,Hamburg,Hamburg,cityname
4929,Hamburg,Hamburg,cityname
4930,Livorno,Livorno,cityname
4931,Slagen,Slagen,cityname
4932,Kalundborg,Kalundborg,cityname
4933,Brofjorden Lysekil,BrofjordenLysekil,cityname
4933,Brofjorden Lysekil,Brofjorden Lysekil,cityname
4934,Cardon,Cardon,cityname
4935,Kösching,Kösching,cityname
4937,Gothenburg,Gothenburg,cityname
4938,Pointe Noire,PointeNoire,cityname
4938,Pointe Noire,Pointe Noire,cityname
4940,Gothenburg,Gothenburg,cityname
4942,Spergau,Spergau,cityname
4943,Ravenna,Ravenna,cityname
4944,Porto Marghera,PortoMarghera,cityname
4944,Porto Marghera,Porto Marghera,cityname
4945,Rome,Rome,cityname
4946,Zawiya             ,Zawiya             ,cityname
4947,Burghausen,Burghausen,cityname
4948,Luanda,Luanda,cityname
4949,Falconara,Falconara,cityname
4951,Zaluzi,Zaluzi,cityname
4952,Schwedt,Schwedt,cityname
4953,Gela,Gela,cityname
4954,"Kralupy
  nad Vltavou","Kralupy
  nad Vltavou",cityname
4955,Rijeka,Rijeka,cityname
4956,Augusta,Augusta,cityname
4959,Priolo,Priolo,cityname
4960,Sicily,Sicily,cityname
4961,Milazzo,Milazzo,cityname
4962,Pardubice,Pardubice,cityname
4963,Sisak,Sisak,cityname
4964,Schwechat,Schwechat,cityname
4965,Bratislava,Bratislava,cityname
4966,Taranto,Taranto,cityname
4967,Nynashamn,Nynashamn,cityname
4969,Cape Town,CapeTown,cityname
4969,Cape Town,Cape Town,cityname
4970,Ras Lanuf         ,Ras Lanuf         ,cityname
4971,Gdansk,Gdansk,cityname
4972,Szazhalombatta,Szazhalombatta,cityname
4974,Trzebinia,Trzebinia,cityname
4975,Marsa El-Brega    ,MarsaElBrega,cityname
4975,Marsa El-Brega    ,MarsaEl,cityname
4975,Marsa El-Brega    ,Marsa El Brega,cityname
4975,Marsa El-Brega    ,Marsa El-Brega    ,cityname
4976,Plock,Plock,cityname
4977,Novi Sad,NoviSad,cityname
4977,Novi Sad,Novi Sad,cityname
4978,Pancevo,Pancevo,cityname
4979,Mazeikiai,Mazeikiai,cityname
4980,Sarir             ,Sarir             ,cityname
4981,Skopje,Skopje,cityname
4982,Jedlicze,Jedlicze,cityname
4983,Naantali,Naantali,cityname
4985,Thessaloniki,Thessaloniki,cityname
4986,Corinth,Corinth,cityname
4987,Drogobych,Drogobych,cityname
4988,Elefsis,Elefsis,cityname
4989,Aspropyrgos,Aspropyrgos,cityname
4990,Tobruk            ,Tobruk            ,cityname
4991,Nadvornaja,Nadvornaja,cityname
4992,Ploiesti,Ploiesti,cityname
4993,Porvoo,Porvoo,cityname
4994,Ploiesti,Ploiesti,cityname
4995,Ploiesti,Ploiesti,cityname
4997,Haina,Haina,cityname
4998,Onesti,Onesti,cityname
4999,Izmir,Izmir,cityname
5000,Burgas,Burgas,cityname
5001,Ciudad Madero,CiudadMadero,cityname
5001,Ciudad Madero,Ciudad Madero,cityname
5002,Novopolotsk,Novopolotsk,cityname
5003,Navodari,Navodari,cityname
5004,Ndola,Ndola,cityname
5005,Mozyr,Mozyr,cityname
5007,Izmit,Izmit,cityname
5008,Asyut,Asyut,cityname
5009,Alexandria,Alexandria,cityname
5010,El Obeid,ElObeid,cityname
5010,El Obeid,El Obeid,cityname
5011,Odessa,Odessa,cityname
5012,Tanta,Tanta,cityname
5013,Durban,Durban,cityname
5014,Durban,Durban,cityname
5015,Mostorod,Mostorod,cityname
5016,Kirishi,Kirishi,cityname
5017,Khartoum,Khartoum,cityname
5018,El Suez,ElSuez,cityname
5018,El Suez,El Suez,cityname
5019,El Suez,ElSuez,cityname
5019,El Suez,El Suez,cityname
5020,El Gily,ElGily,cityname
5020,El Gily,El Gily,cityname
5021,Wadi Feran,Wadi Feran,cityname
5022,Kremenchug,Kremenchug,cityname
5023,Kirikkale,Kirikkale,cityname
5025,Ashdod,Ashdod,cityname
5026,Haifa,Haifa,cityname
5027,Banias,Banias,cityname
5028,Zarqa,Zarqa,cityname
5029,Homs,Homs,cityname
5030,Pointe-a-Pierre,PointeaPierre,cityname
5030,Pointe-a-Pierre,Pointea,cityname
5030,Pointe-a-Pierre,Pointe a Pierre,cityname
5030,Pointe-a-Pierre,Pointe-a-Pierre,cityname
5031,Port Sudan,PortSudan,cityname
5031,Port Sudan,Port Sudan,cityname
5032,Moscow,Moscow,cityname
5033,"Yanbu
  Al-Sinaiyah",YanbuAlSinaiyah,cityname
5033,"Yanbu
  Al-Sinaiyah",YanbuAl,cityname
5033,"Yanbu
  Al-Sinaiyah",Yanbu Al Sinaiyah,cityname
5033,"Yanbu
  Al-Sinaiyah",YanbuAl-Sinaiyah,cityname
5033,"Yanbu
  Al-Sinaiyah",Yanbu,cityname
