id,initial,match,type
4623,Kapolei Refinery (Chevron),kapolei,refname
4624,San Lorenzo Refinery,san lorenzo,refname
4624,San Lorenzo Refinery,sanlorenzo,refname
4625,Kapolei Refinery (Par Pacific),kapolei,refname
4626,Kenai Refinery,kenai,refname
4627,Prudhoe Bay Refinery(BP),prudhoe bay,refname
4627,Prudhoe Bay Refinery(BP),prudhoebay,refname
4628,North Pole Refinery (Flint Hills),north pole,refname
4628,North Pole Refinery (Flint Hills),northpole,refname
4629,North Pole Refinery (Petro Star),north pole,refname
4629,North Pole Refinery (Petro Star),northpole,refname
4630,Valdez Refinery,valdez,refname
4631,Burnaby Refinery,burnaby,refname
4632,Cherry Point Refinery,cherry point,refname
4632,Cherry Point Refinery,cherrypoint,refname
4633,Prince George Refinery,prince george,refname
4633,Prince George Refinery,princegeorge,refname
4634,Ferndale Refinery,ferndale,refname
4635,Anacortes Refinery (Tesoro),anacortes,refname
4636,Anacortes Refinery (Shell),anacortes,refname
4637,Chevron Richmond Refinery,chevron richmond,refname
4637,Chevron Richmond Refinery,chevronrichmond,refname
4638,Tacoma Refinery,tacoma,refname
4639,Rodeo San Francisco Refinery,rodeo san francisco,refname
4639,Rodeo San Francisco Refinery,rodeosanfrancisco,refname
4639,Rodeo San Francisco Refinery,rodeosan,refname
4640,Benicia Refinery,benicia,refname
4641,Martinez Refinery (Shell),martinez,refname
4642,Golden Eagle Refinery,golden eagle,refname
4642,Golden Eagle Refinery,goldeneagle,refname
4643,Santa Maria Refinery (Phillips 66),santa maria,refname
4643,Santa Maria Refinery (Phillips 66),santamaria,refname
4644,Bakersfield (Alon Usa Energy Inc),bakersfield,refname
4645,Bakersfield Refinery (Kern Oil & Refining Co),bakersfield,refname
4646,El Segundo Refinery,el segundo,refname
4646,El Segundo Refinery,elsegundo,refname
4647,Exxonmobil Torrance Refinery,exxonmobil torrance,refname
4647,Exxonmobil Torrance Refinery,exxonmobiltorrance,refname
4648,Phillips 66 Los Angeles (Wilmington) Refinery,phillips 66 los angeles,refname
4649,Tesoro Los Angeles (Carson) Refinery,tesoro los angeles,refname
4650,Phillips 66 Los Angeles (Carson) Refinery,phillips 66 los angeles,refname
4651,Tesoro Los Angeles (Wilmington) Refinery,tesoro los angeles,refname
4652,South Gate Refinery,south gate,refname
4652,South Gate Refinery,southgate,refname
4653,Paramount Refinery,paramount,refname
4654,Ely Refinery,ely,refname
4655,Strathcona Refinery (Imperial),strathcona,refname
4656,Edmonton Strathcona Refinery (Suncor),edmonton strathcona,refname
4656,Edmonton Strathcona Refinery (Suncor),edmontonstrathcona,refname
4657,Scotford Refinery,scotford,refname
4658,Salt Lake City Refinery (Chevron),salt lake city,refname
4658,Salt Lake City Refinery (Chevron),saltlakecity,refname
4658,Salt Lake City Refinery (Chevron),saltlake,refname
4659,North Salt Lake Refinery,north salt lake,refname
4659,North Salt Lake Refinery,northsaltlake,refname
4659,North Salt Lake Refinery,northsalt,refname
