,attack,blaze,capacity,capacity expansion,capacity reduction,commissioning,cut,cuts,down,downtime,expansion,explosion,fire,inauguration,maintenance,new,newrefinery,outage,problems,reduction,run cuts,runcuts,shutdown,smoke,strike,tar,tars,throughput,turnarounds
attack,1.0,0.06554106011606195,0.13090045165221706,0.0,0.0,0.0,0.062367016330043885,0.012387285278915895,0.11551632585112345,0.0,0.0,0.267415173476216,0.26078360131322975,0.0,0.0,0.174464110041199,0.0,0.1659746444547995,1.0,0.0,0.13850025789853446,0.0,0.019122941339472982,0.44962418653132,0.3744509150039399,0.4630328006481419,0.061896649630895376,0.01000570973125383,0.0
blaze,0.06554106011606195,1.0,0.33480874197468685,0.0,0.0,0.0,0.0,0.060874563483765055,0.16140126887502526,0.0,0.0,0.43739835676506994,0.5374350394674423,0.013099196583429534,0.2178634629787196,0.40830776528268486,0.0,0.1428288995985836,0.42748440660220416,0.16703615775093417,0.0,0.0,0.10010601421724992,0.5756669179575256,0.08543316468796668,0.0,0.02597544125230304,0.03749037058496895,0.0
capacity,0.13090045165221706,0.33480874197468685,1.0,0.495603000543269,0.35424292860022744,0.161018586907204,0.36389153162851046,0.10687542658639856,0.19633980762026632,0.1823549313383377,0.34312988137343353,0.24235890067611982,0.2612740897856225,0.02777279197646872,0.2298958868451761,0.3387661412968579,0.1559929057300945,0.17936637529890753,0.11608333011366863,0.3532748685701199,0.02928652253538406,0.06252349609987023,0.2597865344937885,0.3632133752296207,0.21479640921263246,0.11013575600041303,0.12400446115011783,0.2663353810552014,0.06794202421535235
capacity expansion,0.0,0.0,0.495603000543269,1.0,0.0,0.05829671156617094,0.0,0.0,0.007868743130430584,0.0,0.7442012941580761,0.0,0.02088792924546448,0.0,0.06502596997993221,0.08129212544418205,0.0,0.0,0.04212152351691284,0.007823552504954218,0.0,0.0,0.023525069905887777,0.0,0.0,0.029000078823512243,0.0,0.0,0.0
capacity reduction,0.0,0.0,0.35424292860022744,0.0,1.0,0.0,0.0,0.0,0.0015397252411382125,0.0,0.0,0.0,0.0,0.0,0.20994281920428753,0.06071135370594066,0.0,0.03711221634445836,0.0,0.5474397965882568,0.0,0.0,0.0029302895176572087,0.0,0.0,0.0,0.0,0.0,0.0
commissioning,0.0,0.0,0.161018586907204,0.05829671156617094,0.0,1.0,0.22385815881712243,0.06609076134355436,0.043306757720852046,0.0,0.28724715408614143,0.0,0.03625992144068201,0.11793131936308589,0.13342457041679437,0.15296833886014063,0.0,0.00974835540692435,0.08516496459514852,0.049578820325271326,0.009748355406924102,0.0,0.08288482527254194,0.028248231128775888,0.016922745556624028,0.0,0.0,0.0,0.0053329132664423256
cut,0.062367016330043885,0.0,0.36389153162851046,0.0,0.0,0.22385815881712243,1.0,0.38543773000197756,0.16613501459154334,0.15521499731123167,0.32669811759373524,0.043243654748254354,0.11227589834334249,0.0,0.2833572022317818,0.3049581724285675,0.0,0.3987262193083164,0.19389890539196514,0.2387304745787715,0.2711456786576843,0.09263392581355853,0.2266610530405396,1.0,0.24388875607452884,0.0020485452585521425,0.0,0.3110781252196117,0.0
cuts,0.012387285278915895,0.060874563483765055,0.10687542658639856,0.0,0.0,0.06609076134355436,0.38543773000197756,1.0,0.10946201195600794,0.022289521951720966,0.0,0.07737147869347448,0.21708349287297088,0.0,0.1711536042047743,0.23456040677300233,0.0,0.44993834572146957,0.1644705058880526,0.20174962602501437,0.6687555781372541,0.1320946460232685,0.09926464379187623,0.01033459746023737,0.34822132359278873,0.1776379760171404,0.006363988630108083,0.22468623877220772,0.04175805486574924
down,0.11551632585112345,0.16140126887502526,0.19633980762026632,0.007868743130430584,0.0015397252411382125,0.043306757720852046,0.16613501459154334,0.10946201195600794,1.0,0.19616309427483827,0.030794916402540506,0.2608132570228002,0.24104070485538323,0.03366640803483232,0.30044640011510615,0.08842853717149408,0.0,0.2850376421664699,0.24647231112231693,0.0967389362277519,0.0317735518891036,0.0,0.2818186376273367,0.05565601338333106,0.21359910575185614,0.035028350335261686,0.002354145104292997,0.2062879151992448,0.14763123820609683
downtime,0.0,0.0,0.1823549313383377,0.0,0.0,0.0,0.15521499731123167,0.022289521951720966,0.19616309427483827,1.0,0.0,0.0,0.0,0.0,0.12964384745394122,0.07532481391032488,0.0,0.0,0.0,0.0,0.059924517228814256,0.0685215876322696,0.04072254745540478,0.0,0.0,0.02291943768655756,0.0,0.0,0.36158505642982885
expansion,0.0,0.0,0.34312988137343353,0.7442012941580761,0.0,0.28724715408614143,0.32669811759373524,0.0,0.030794916402540506,0.0,1.0,0.03208274780312812,0.0520869541352419,0.0,0.025550680438429195,0.2889912773603748,0.0,0.021758476099864324,0.10348759776753706,0.021182234361745732,0.0,0.0,0.06765863760915183,0.0,0.06666062982028512,0.04227003477369917,0.0,0.36783438336266217,0.0020768211999527644
explosion,0.267415173476216,0.43739835676506994,0.24235890067611982,0.0,0.0,0.0,0.043243654748254354,0.07737147869347448,0.2608132570228002,0.0,0.03208274780312812,1.0,0.44115666273028165,0.34288100656068204,0.17669596774911575,0.45413174014844443,0.0,0.18685607965111298,0.2622656038240571,0.2765565517848858,0.13442251293496038,0.0,0.12152433761202197,0.40986657924002484,0.13403706629500428,0.10612757407557886,0.029338464950399584,0.0,0.08385636545485367
fire,0.26078360131322975,0.5374350394674423,0.2612740897856225,0.02088792924546448,0.0,0.03625992144068201,0.11227589834334249,0.21708349287297088,0.24104070485538323,0.0,0.0520869541352419,0.44115666273028165,1.0,0.04696956412866648,0.3520749894453954,0.40905877320216927,0.0,0.06318171358299286,0.18145622394047695,0.10344684580463404,0.0,0.0,0.18919762999273956,0.5184959250341149,0.17399380101658937,0.10228136672306157,0.05943051194791634,0.4319602351160265,0.0
inauguration,0.0,0.013099196583429534,0.02777279197646872,0.0,0.0,0.11793131936308589,0.0,0.0,0.03366640803483232,0.0,0.0,0.34288100656068204,0.04696956412866648,1.0,0.03713283962523843,0.3017955592733605,0.0,0.0,0.1820892415581922,0.17651686204695177,0.0,0.0,0.0,0.0,0.0,0.06017555004663007,0.0,0.0,0.0
