id,initial,match,type
5085,Abu Dubai Oil Refining Company,abu dubai oil refining company,ownername
5090,Abu Dubai Oil Refining Company,abu dubai oil refining company,ownername
5054,Aden Refinery Company,aden refinery company,ownername
5054,Aden Refinery Company,adenrefinerycompany,ownername
5054,Aden Refinery Company,adenrefinery,ownername
9675,Aktobe Refinery,aktobe refinery,ownername
9675,Aktobe Refinery,aktoberefinery,ownername
4829,AkzoNobel,akzonobel,ownername
4703,Alcoa,alcoa,ownername
4860,Alcoa,alcoa,ownername
4943,Alma Petroli,alma petroli,ownername
4943,Alma Petroli,almapetroli,ownername
4644,Alon USA,alon usa,ownername
4644,Alon USA,alonusa,ownername
4783,American Refining Group,american refining group,ownername
4783,American Refining Group,americanrefininggroup,ownername
4783,American Refining Group,americanrefining,ownername
4833,ANCAP,ancap,ownername
4731,Andeavor,andeavor,ownername
4681,Andeavor,andeavor,ownername
4686,Andeavor,andeavor,ownername
4671,Andeavor,andeavor,ownername
4669,Andeavor,andeavor,ownername
4661,Andeavor,andeavor,ownername
4635,Andeavor,andeavor,ownername
4626,Andeavor,andeavor,ownername
4651,Andeavor,andeavor,ownername
4642,Andeavor,andeavor,ownername
4649,Andeavor,andeavor,ownername
4949,Api Anonima Petroli Italiana SpA,api anonima petroli italiana spa,ownername
4916,Aquitane,aquitane,ownername
9694,Aramco Trading Company,aramco trading company,ownername
9694,Aramco Trading Company,aramcotradingcompany,ownername
9694,Aramco Trading Company,aramcotrading,ownername
9695,Aramco Trading Company,aramco trading company,ownername
9695,Aramco Trading Company,aramcotradingcompany,ownername
9695,Aramco Trading Company,aramcotrading,ownername
5230,Aramco Trading Company,aramco trading company,ownername
5230,Aramco Trading Company,aramcotradingcompany,ownername
5230,Aramco Trading Company,aramcotrading,ownername
15999,Aramco Trading Company,aramco trading company,ownername
15999,Aramco Trading Company,aramcotradingcompany,ownername
15999,Aramco Trading Company,aramcotrading,ownername
16187,Aramco Trading Company,aramco trading company,ownername
16187,Aramco Trading Company,aramcotradingcompany,ownername
16187,Aramco Trading Company,aramcotrading,ownername
5058,Aramco Trading Company,aramco trading company,ownername
5058,Aramco Trading Company,aramcotradingcompany,ownername
5058,Aramco Trading Company,aramcotrading,ownername
5041,Aramco Trading Company,aramco trading company,ownername
5041,Aramco Trading Company,aramcotradingcompany,ownername
5041,Aramco Trading Company,aramcotrading,ownername
5039,Aramco Trading Company,aramco trading company,ownername
5039,Aramco Trading Company,aramcotradingcompany,ownername
5039,Aramco Trading Company,aramcotrading,ownername
5036,Aramco Trading Company,aramco trading company,ownername
5036,Aramco Trading Company,aramcotradingcompany,ownername
5036,Aramco Trading Company,aramcotrading,ownername
5033,Aramco Trading Company,aramco trading company,ownername
5033,Aramco Trading Company,aramcotradingcompany,ownername
5033,Aramco Trading Company,aramcotrading,ownername
5034,Aramco Trading Company,aramco trading company,ownername
